Round,Drawing date,First place winners,Second place winners,Third place winners,Fourth place winners,Fifth place winners,1,2,3,4,5,6,Bonus,Total purchased money,Total purchased tickets,Expected First Winner,Expected Second Winner,Expected Third Winner,Expected Fourth Winner,Expected Fifth Winner
918,2020.07.04,18,86,2718,137216,2183337,7,11,12,31,33,38,5,89200857000,89200857,10.95152853,65.7091712,2496.944827,121692.8472,1982241.267
919,2020.07.11,5,56,2541,122864,2052965,9,14,17,18,42,44,35,90218056000,90218056,11.07641392,66.45848355,2525.418654,123080.5675,2004845.689
920,2020.07.18,7,53,2348,117181,1984222,2,3,26,33,34,43,29,89805177000,89805177,11.0257232,66.15433919,2513.861186,122517.2947,1995670.6
921,2020.07.25,17,72,2682,129993,2101238,5,7,12,22,28,41,1,89888341000,89888341,11.03593356,66.21560136,2516.189145,122630.7517,1997518.689
922,2020.08.01,6,89,2876,136052,2097501,2,6,13,17,27,43,36,89266682000,89266682,10.95961012,65.75766072,2498.787426,121782.6494,1983704.044
923,2020.08.08,8,56,2376,115877,1937187,3,17,18,23,36,41,26,87867402000,87867402,10.78781519,64.72689115,2459.61824,119873.6726,1952608.933
924,2020.08.15,9,69,2198,113214,1920852,3,11,34,42,43,44,13,87708256000,87708256,10.76827623,64.60965739,2455.163364,119656.5566,1949072.356
925,2020.08.22,12,68,2335,117863,1944019,13,24,32,34,39,42,4,87901067000,87901067,10.79194837,64.75169023,2460.560604,119919.6003,1953357.044
926,2020.08.29,10,72,2923,133167,2085580,10,16,18,20,25,31,6,88372251000,88372251,10.84979742,65.09878454,2473.750168,120562.4161,1963827.8
927,2020.09.05,6,63,2331,118446,1979589,4,15,22,38,41,43,26,91067752000,91067752,11.18073433,67.08440601,2549.203673,124239.7708,2023727.822
928,2020.09.12,7,81,2639,121873,2011931,3,4,10,20,28,44,30,90818982000,90818982,11.1501919,66.90115137,2542.240007,123900.3847,2018199.6
929,2020.09.19,16,91,3028,140880,2244712,7,9,12,15,19,23,4,92344620000,92344620,11.33750028,68.02500166,2584.946255,125981.7462,2052102.667
930,2020.09.26,8,55,2776,128480,2124548,8,21,25,38,39,44,28,94518415000,94518415,11.60438536,69.62631215,2645.795963,128947.3602,2100409.222
931,2020.10.03,8,54,2596,121943,2041653,14,15,23,25,35,43,32,95695802000,95695802,11.74893764,70.49362583,2678.753835,130553.618,2126573.378
932,2020.10.10,7,64,2420,120969,2067196,1,6,15,36,37,38,5,96049289000,96049289,11.79233658,70.75401949,2688.64878,131035.8649,2134428.644
933,2020.10.17,8,63,2215,114043,1962088,23,27,29,31,36,45,37,93484851000,93484851,11.47749077,68.86494464,2616.864041,127537.3138,2077441.133
934,2020.10.24,4,66,2359,116726,1985417,1,3,30,33,36,39,12,93028347000,93028347,11.42144404,68.52866425,2604.085405,126914.5252,2067296.6
935,2020.10.31,13,120,2933,134376,2118071,4,10,20,32,38,44,18,93934898000,93934898,11.53274476,69.19646853,2629.46193,128151.2933,2087442.178
936,2020.11.07,14,77,2864,140160,2252623,7,11,13,17,18,29,43,92246146000,92246146,11.32541025,67.95246149,2582.189732,125847.4025,2049914.356
937,2020.11.14,11,57,2480,124141,2092601,2,10,13,22,29,40,26,93720454000,93720454,11.50641665,69.0384999,2623.459131,127858.7367,2082676.756
938,2020.11.21,10,64,2531,124971,2096955,4,8,10,16,31,36,9,93452425000,93452425,11.47350971,68.84105826,2615.95636,127493.0764,2076720.556
939,2020.11.28,13,67,2682,128408,2127595,4,11,28,39,42,45,6,93340002000,93340002,11.45970711,68.75824266,2612.809372,127339.7026,2074222.267
940,2020.12.05,8,51,2329,123292,2087480,3,15,20,22,24,41,11,93920183000,93920183,11.53093814,69.18562884,2629.050022,128131.2183,2087115.178
941,2020.12.12,16,87,3275,145544,2282851,12,14,25,27,39,40,35,94867600000,94867600,11.64725613,69.88353677,2655.570485,129423.7381,2108168.889
942,2020.12.19,6,52,2473,120907,2045438,10,12,18,35,42,43,39,92731965000,92731965,11.3850561,68.31033657,2595.788965,126510.1842,2060710.333
943,2020.12.26,7,74,2722,135763,2238429,1,8,13,36,44,45,39,1.00E+11,100081432,12.28737812,73.7242687,2801.518083,136536.7422,2224031.822
944,2021.01.02,13,79,3057,147665,2440455,2,13,16,19,32,33,42,1.07E+11,107181377,13.15906537,78.95439223,3000.262485,146222.8881,2381808.378
945,2021.01.09,13,71,2490,124224,2120882,9,10,15,30,33,37,26,94837109000,94837109,11.64351263,69.86107579,2654.716969,129382.1405,2107491.311
946,2021.01.16,11,71,2949,138433,2224563,9,18,19,30,34,40,20,99380178000,99380178,12.2012825,73.20769497,2781.88831,135580.0518,2208448.4
947,2021.01.23,18,58,3182,146908,2351804,3,8,17,20,27,35,26,99449916000,99449916,12.20984449,73.25906697,2783.840443,135675.1924,2209998.133
948,2021.01.30,11,90,2905,137929,2252913,13,18,30,31,38,41,5,1.01E+11,100519459,12.34115636,74.04693814,2813.779504,137134.3233,2233765.756
949,2021.02.06,10,65,2594,130363,2192075,14,21,35,36,40,44,30,1.01E+11,100518909,12.34108883,74.04653299,2813.764108,137133.573,2233753.533
950,2021.02.13,8,67,2886,146270,2422941,3,4,15,22,28,40,10,1.09E+11,108870714,13.3664717,80.19883021,3047.551058,148527.5771,2419349.2
951,2021.02.20,14,72,2907,142335,2346154,2,12,30,31,39,43,38,1.03E+11,102937006,12.6379678,75.82780679,2881.452413,140432.4775,2287489.022
952,2021.02.27,9,93,3039,141776,2304925,4,12,22,24,33,41,38,1.02E+11,102355646,12.56659202,75.39955212,2865.178759,139639.3533,2274569.911
953,2021.03.06,14,102,3273,146120,2331848,7,9,22,27,37,42,34,99180891000,99180891,12.17681527,73.06089163,2776.309792,135308.1733,2204019.8
954,2021.03.13,10,64,2657,132057,2214839,1,9,26,28,30,41,32,1.01E+11,101455314,12.45605484,74.73632901,2839.976318,138411.0696,2254562.533
955,2021.03.20,12,71,2650,130744,2196889,4,9,23,26,29,33,8,99784736000,99784736,12.25095162,73.50570972,2793.212854,136131.9727,2217438.578
956,2021.03.27,11,136,3053,144650,2325943,10,11,20,21,25,41,40,97065255000,97065255,11.91707059,71.50242355,2717.088092,132421.9031,2157005.667
957,2021.04.03,11,61,2835,129545,2131893,4,15,24,35,36,40,1,96654698000,96654698,11.86666495,71.19998969,2705.595622,131861.7981,2147882.178
958,2021.04.10,15,67,2470,131097,2168146,2,9,10,16,35,37,1,98635947000,98635947,12.10991042,72.65946255,2761.055509,134564.7299,2191909.933
959,2021.04.17,8,75,2502,123802,2072896,1,14,15,24,40,41,35,97435835000,97435835,11.96256811,71.77540865,2727.46151,132927.4693,2165240.778
960,2021.04.24,10,56,2569,129546,2180006,2,18,24,30,32,45,14,98784879000,98784879,12.12819537,72.76917223,2765.224471,134767.9113,2195219.533
961,2021.05.01,9,73,2716,133764,2197136,11,20,29,31,33,42,43,97153309000,97153309,11.92788132,71.5672879,2719.552934,132542.0314,2158962.422
962,2021.05.08,12,73,2581,126528,2119457,1,18,28,31,34,43,40,95956365000,95956365,11.78092795,70.68556769,2686.047615,130909.0928,2132363.667
963,2021.05.15,15,68,3137,141987,2219439,6,12,19,23,34,42,35,95452215000,95452215,11.71903154,70.31418921,2671.935254,130221.3029,2121160.333
964,2021.05.22,10,52,2447,123780,2061560,6,21,36,38,39,43,30,95549895000,95549895,11.73102408,70.38614449,2674.66955,130354.5634,2123331
965,2021.05.29,7,46,2389,122129,2043257,2,13,25,28,29,36,34,96174650000,96174650,11.80772763,70.84636577,2692.157933,131206.8895,2137214.444
966,2021.06.05,10,50,2352,115370,1980202,1,21,25,29,34,37,36,95640447000,95640447,11.74214149,70.45284897,2677.204316,130478.0996,2125343.267
967,2021.06.12,4,69,2475,121200,2042462,1,6,13,37,38,40,9,94515565000,94515565,11.60403545,69.62421271,2645.716185,128943.472,2100345.889
968,2021.06.19,13,97,3116,148150,2329460,2,5,12,14,24,39,33,95924229000,95924229,11.77698249,70.66189494,2685.148052,130865.251,2131649.533
969,2021.06.26,20,56,2633,133079,2211803,3,9,10,29,40,45,7,96728751000,96728751,11.87575672,71.2545403,2707.668542,131962.8254,2149527.8
970,2021.07.03,14,87,2479,124923,2061176,9,11,16,21,28,36,5,93268371000,93268371,11.4509127,68.7054762,2610.804249,127241.9795,2072630.467
971,2021.07.10,6,62,2685,131409,2171694,2,6,17,18,21,26,7,94471924000,94471924,11.59867748,69.59206488,2644.494569,128883.9345,2099376.089
972,2021.07.17,20,80,2570,126989,2122398,3,6,17,23,37,39,26,93916813000,93916813,11.53052439,69.18314635,2628.955688,128126.6207,2087040.289
973,2021.07.24,8,42,2257,117757,2003966,22,26,31,37,41,42,24,93953872000,93953872,11.53507427,69.2104456,2629.993058,128177.1787,2087863.822
974,2021.07.31,17,66,2636,129473,2149319,1,2,11,16,39,44,32,94146055000,94146055,11.5586693,69.35201582,2635.372719,128439.3656,2092134.556
975,2021.08.07,9,61,2828,135604,2212347,7,8,9,17,22,24,5,94253719000,94253719,11.57188762,69.43132574,2638.386491,128586.2469,2094527.089
976,2021.08.14,7,69,3085,142375,2270249,4,12,14,25,35,37,2,97492178000,97492178,11.96948555,71.81691332,2729.038685,133004.3356,2166492.844
977,2021.08.21,14,82,2474,125781,2097459,2,9,10,14,22,44,16,95895844000,95895844,11.77349756,70.64098533,2684.353488,130826.5266,2131018.756
978,2021.08.28,10,70,2826,133915,2217326,1,7,15,32,34,42,8,98855197000,98855197,12.13682858,72.82097148,2767.19284,134863.8431,2196782.156
979,2021.09.04,14,79,3414,154980,2403760,7,11,16,21,27,33,24,99507886000,99507886,12.21696169,73.30177015,2785.463162,135754.2783,2211286.356
980,2021.09.11,7,70,2819,135751,2237534,3,13,16,23,24,35,14,99593380000,99593380,12.22745812,73.36474869,2787.856343,135870.9141,2213186.222
981,2021.09.18,13,65,2824,136630,2289650,27,36,37,41,43,45,32,1.06E+11,105645424,12.97049058,77.82294348,2957.267495,144127.4543,2347676.089
982,2021.09.25,8,81,2931,139208,2291933,5,7,13,20,21,44,33,1.01E+11,101344251,12.44241921,74.65451525,2836.8674,138259.5512,2252094.467
983,2021.10.02,10,78,2640,131780,2196308,13,23,26,31,35,43,15,1.02E+11,101899006,12.51052859,75.06317154,2852.396316,139016.3793,2264422.356
984,2021.10.09,7,64,2596,128129,2149335,3,10,23,35,36,37,18,98762367000,98762367,12.12543149,72.75258893,2764.594306,134737.1992,2194719.267
985,2021.10.16,10,62,2581,126523,2123240,17,21,23,30,34,44,19,98811446000,98811446,12.1314571,72.78874262,2765.968145,134804.1555,2195809.911
986,2021.10.23,10,70,2793,133889,2231167,7,10,16,28,41,42,40,99041240000,99041240,12.15966979,72.95801873,2772.400627,135117.6535,2200916.444
987,2021.10.30,10,73,2968,140004,2283682,2,4,15,23,29,38,7,1.00E+11,100269530,12.31047162,73.86282974,2806.783395,136793.3561,2228211.778
988,2021.11.06,9,61,2663,129322,2139025,2,13,20,30,31,41,27,98606195000,98606195,12.10625766,72.63754595,2760.222679,134524.1405,2191248.778
989,2021.11.13,4,63,2444,127891,2158436,17,18,21,27,29,33,26,96525658000,96525658,11.85082222,71.1049333,2701.983484,131685.7544,2145014.622
990,2021.11.20,14,56,2858,129113,2169219,2,4,25,26,36,37,28,99567047000,99567047,12.22422511,73.34535068,2787.11922,135834.9891,2212601.044
991,2021.11.27,8,110,2969,138068,2226394,13,18,25,31,33,44,38,98026282000,98026282,12.03505953,72.2103572,2743.989531,133732.9905,2178361.822
992,2021.12.04,12,58,2373,124311,2105282,12,20,26,33,44,45,24,97066498000,97066498,11.9172232,71.5033392,2717.122887,132423.5989,2157033.289
993,2021.12.11,6,70,2732,132583,2220620,6,14,16,18,24,42,44,99323653000,99323653,12.19434271,73.16605624,2780.306041,135502.9372,2207192.289
994,2021.12.18,12,70,2803,137937,2216661,1,3,8,24,27,35,28,95530936000,95530936,11.72869641,70.37217847,2674.138842,130328.6985,2122909.689
995,2021.12.25,7,69,2793,138372,2269218,1,4,13,29,38,39,7,1.01E+11,100878455,12.38523166,74.31138997,2823.828659,137624.0859,2241743.444
996,2022.01.01,18,86,3313,155856,2546181,6,11,15,24,32,39,28,1.13E+11,112624327,13.82731705,82.96390229,3152.623642,153648.4679,2502762.822
997,2022.01.08,19,85,3692,155887,2331995,4,7,14,16,24,44,20,1.02E+11,102431961,12.5759615,75.45576902,2867.314998,139743.4666,2276265.8
998,2022.01.15,12,53,2648,129576,2227628,13,17,18,20,42,45,41,1.02E+11,101681869,12.48386985,74.90321913,2846.318133,138720.1487,2259597.089
999,2022.01.22,16,67,2943,143217,2369326,1,3,9,14,18,28,34,1.03E+11,102581351,12.59430268,75.56581609,2871.496781,139947.2729,2279585.578
1000,2022.01.29,22,109,4018,180052,2747686,2,8,19,22,32,42,39,1.19E+11,118628811,14.56451039,87.38706234,3320.703477,161840.1241,2636195.8
1001,2022.02.05,12,66,2761,140255,2346904,6,10,12,14,20,42,15,1.04E+11,103967487,12.76448387,76.58690323,2910.298035,141838.3179,2310388.6
1002,2022.02.12,8,85,3193,155418,2436676,17,25,33,35,38,45,15,1.06E+11,105795484,12.98891402,77.9334841,2961.468033,144332.1746,2351010.756
1003,2022.02.19,14,66,2649,133896,2247475,1,4,29,39,43,45,31,1.03E+11,103479378,12.70455687,76.22734124,2896.634699,141172.412,2299541.733
1004,2022.02.26,10,68,2785,140047,2340772,7,15,30,37,39,44,18,1.06E+11,106112471,13.02783172,78.1669903,2970.341255,144764.6262,2358054.911
1005,2022.03.05,12,84,2798,143067,2349017,8,13,18,24,27,29,17,1.04E+11,103755249,12.7384266,76.43055963,2904.356987,141548.7708,2305672.2
1006,2022.03.12,9,65,2487,131234,2288458,8,11,15,16,17,37,36,1.05E+11,104542431,12.83507193,77.0104316,2926.392089,142622.6889,2323165.133
1007,2022.03.19,9,70,2844,137134,2256573,8,11,16,19,21,25,40,1.02E+11,101530003,12.46522469,74.79134813,2842.067042,138512.9645,2256222.289
1008,2022.03.26,11,97,2826,141072,2311009,9,11,30,31,41,44,33,1.04E+11,103727042,12.73496352,76.40978114,2903.567406,141510.2892,2305045.378
1009,2022.04.02,15,69,2632,133476,2232525,15,23,29,34,40,44,20,1.04E+11,103771363,12.74040498,76.44242989,2904.808056,141570.7544,2306030.289
1010,2022.04.09,8,66,2781,136828,2278193,9,12,15,25,34,36,3,1.03E+11,103011505,12.64711432,75.88268595,2883.537818,140534.1132,2289144.556
1011,2022.04.16,11,76,2818,137485,2292065,1,9,12,26,35,38,42,1.02E+11,101799373,12.49829627,74.98977761,2849.607351,138880.4543,2262208.289
1012,2022.04.23,13,76,2882,141514,2324952,5,11,18,20,35,45,3,1.02E+11,101948323,12.51658343,75.09950056,2853.776817,139083.6603,2265518.289
1013,2022.04.30,5,79,2586,128697,2157701,21,22,26,34,36,41,32,1.02E+11,101747653,12.49194641,74.95167844,2848.159585,138809.895,2261058.956
1014,2022.05.07,10,69,2849,143906,2372712,3,11,14,18,26,27,21,1.02E+11,102396369,12.57159174,75.42955043,2866.318693,139694.91,2275474.867
1015,2022.05.14,8,102,2880,144321,2304033,14,23,31,33,37,40,44,1.03E+11,102562683,12.59201074,75.55206444,2870.974219,139921.8049,2279170.733
1016,2022.05.21,11,68,2686,132413,2202914,15,26,28,34,41,42,44,1.02E+11,101583153,12.47175012,74.8305007,2843.554837,138585.4748,2257403.4
1017,2022.05.28,7,70,2596,133621,2235724,12,18,22,23,30,34,32,1.01E+11,101382790,12.44715079,74.68290473,2837.946199,138312.1282,2252950.889
1018,2022.06.04,2,62,2693,130602,2216230,3,19,21,25,37,45,35,1.01E+11,101151805,12.41879188,74.51275129,2831.480377,137997.0055,2247817.889
1019,2022.06.11,50,75,5823,192646,2506493,1,4,13,17,34,39,6,1.03E+11,102804882,12.62174643,75.7304786,2877.753947,140252.2265,2284552.933
1020,2022.06.18,13,77,2817,138221,2300467,12,27,29,38,41,45,6,1.05E+11,104996396,12.89080694,77.34484166,2939.099653,143242.0136,2333253.244
1021,2022.06.25,12,56,2461,126484,2182497,12,15,17,24,29,45,16,1.02E+11,101960162,12.51803695,75.10822167,2854.108219,139099.8117,2265781.378
1022,2022.07.02,5,63,2580,127962,2155059,5,6,11,29,42,45,28,99233031000,99233031,12.1832167,73.09930019,2777.769315,135379.3056,2205178.467
1023,2022.07.09,9,72,2506,127810,2172239,10,14,16,18,29,35,25,1.00E+11,100399659,12.32644806,73.95868833,2810.426016,136970.8854,2231103.533
1024,2022.07.16,8,63,2616,134065,2224097,9,18,20,22,38,44,10,1.00E+11,100081038,12.28732974,73.72397846,2801.507054,136536.2046,2224023.067
1025,2022.07.23,4,69,2671,134665,2258426,8,9,20,25,29,33,7,1.01E+11,101318529,12.43926122,74.63556733,2836.14738,138224.4598,2251522.867
1026,2022.07.30,15,76,2786,138907,2290094,5,12,13,31,32,41,34,1.02E+11,101556379,12.46846297,74.81077782,2842.805369,138548.9482,2256808.422
1027,2022.08.06,10,83,2700,134097,2217201,14,16,27,35,39,45,5,1.01E+11,101195159,12.42411462,74.5446877,2832.693959,138056.1514,2248781.311
1028,2022.08.13,20,91,2810,142778,2333653,5,7,12,13,18,35,23,1.01E+11,100613537,12.35270667,74.11624003,2816.412972,137262.6698,2235856.378
1029,2022.08.20,10,62,2614,125573,2136972,12,30,32,37,39,41,24,1.01E+11,101336312,12.44144451,74.64866704,2836.645169,138248.7203,2251918.044
1030,2022.08.27,19,104,3278,154929,2473576,2,5,11,17,24,29,9,1.05E+11,104899923,12.87896259,77.27377552,2936.399143,143110.3997,2331109.4
1031,2022.09.03,8,64,2789,132815,2247015,6,7,22,32,35,36,19,1.04E+11,104316078,12.80728171,76.84369029,2920.055929,142313.8854,2318135.067
1032,2022.09.10,10,90,3078,149807,2458611,1,6,12,19,36,42,28,1.11E+11,110907011,13.61647563,81.69885378,3104.55187,151305.6085,2464600.244
1033,2022.09.17,13,79,3083,145505,2376004,3,11,15,20,35,44,10,1.05E+11,104642258,12.84732807,77.08396844,2929.186485,142758.8786,2325383.511
1034,2022.09.24,9,66,2898,142939,2400364,26,31,32,33,38,40,11,1.07E+11,107150089,13.15522403,78.93134415,2999.386659,146180.2033,2381113.089
1035,2022.10.01,8,71,2848,141624,2366499,9,14,34,35,41,42,2,1.07E+11,106759523,13.10727275,78.64363651,2988.453785,145647.3711,2372433.844
1036,2022.10.08,9,64,2593,133443,2231388,2,5,22,32,34,45,39,1.04E+11,103753936,12.7382654,76.42959242,2904.320233,141546.9795,2305643.022
1037,2022.10.15,15,78,2713,137021,2279500,2,14,15,22,27,33,31,1.05E+11,104840173,12.87162685,77.22976111,2934.726598,143028.8854,2329781.622
1038,2022.10.22,15,77,3364,154690,2436512,7,16,24,27,37,44,2,1.05E+11,104932409,12.88295102,77.29770609,2937.308504,143154.719,2331831.311
1039,2022.10.29,16,80,2773,140403,2359126,2,3,6,19,36,39,26,1.05E+11,105259066,12.92305594,77.53833563,2946.452413,143600.3629,2339090.356
1040,2022.11.05,7,63,2583,133245,2235373,8,16,26,29,31,36,11,1.04E+11,104007239,12.76936438,76.61618625,2911.410788,141892.5498,2311271.978
1041,2022.11.12,25,85,3947,167535,2620869,6,7,9,11,17,18,45,1.05E+11,105301601,12.92827812,77.56966873,2947.643069,143658.3915,2340035.578
1042,2022.11.19,20,100,3567,157156,2462593,5,14,15,23,34,43,4,1.07E+11,106510259,13.07666966,78.46001797,2981.47629,145307.3111,2366894.644
1043,2022.11.26,17,86,3156,155087,2495858,3,5,12,22,26,31,19,1.07E+11,107045942,13.1424375,78.85462501,2996.471336,146038.1201,2378798.711
1044,2022.12.03,8,72,2597,134226,2254796,12,17,20,26,28,36,4,1.03E+11,102891973,12.63243893,75.79463356,2880.191832,140371.0409,2286488.289
1045,2022.12.10,13,67,2699,135872,2280432,6,14,15,19,21,41,37,1.05E+11,105380282,12.93793809,77.62762853,2949.845538,143765.7326,2341784.044
1046,2022.12.17,12,57,2959,139560,2260269,7,16,25,29,35,36,28,1.01E+11,100923993,12.39082254,74.34493521,2825.103376,137686.2115,2242755.4
1047,2022.12.24,9,83,2728,139530,2313403,2,20,33,40,42,44,32,1.03E+11,103058179,12.65284467,75.91706801,2884.844334,140597.7885,2290181.756
1048,2022.12.31,17,102,3817,170086,2721555,6,12,17,21,32,39,30,1.17E+11,117323901,14.40430163,86.42580975,3284.175932,160059.8922,2607197.8
1049,2023.01.07,15,89,2968,147061,2462622,3,5,13,20,21,37,17,1.08E+11,108444724,13.31417129,79.88502773,3035.626582,147946.4175,2409882.756
1050,2023.01.14,17,70,2866,144610,2402116,6,12,31,35,38,43,17,1.08E+11,108072602,13.26848446,79.61090673,3025.209999,147438.7476,2401613.378
1051,2023.01.21,18,70,2824,143314,2477370,21,26,30,32,33,35,44,1.19E+11,119243907,14.64002807,87.8401684,3337.921481,162679.2729,2649864.6
1052,2023.01.28,11,108,2926,148178,2405830,5,17,26,27,35,38,1,1.08E+11,107565461,13.20622083,79.23732496,3011.013912,146746.8772,2390343.578
1053,2023.02.04,7,64,2702,136905,2367764,22,26,29,30,34,45,15,1.14E+11,113721665,13.96204141,83.77224845,3183.340751,155145.5184,2527148.111
1054,2023.02.11,9,66,2714,140308,2407955,14,19,27,28,30,45,33,1.14E+11,113660567,13.95454018,83.72724105,3181.630473,155062.1651,2525790.378
1055,2023.02.18,11,92,3413,165590,2662001,4,7,12,14,22,33,31,1.12E+11,112488256,13.81061109,82.86366657,3148.81469,153462.8322,2499739.022
1056,2023.02.25,14,81,3223,150996,2464595,13,20,24,32,36,45,29,1.13E+11,113279615,13.90776925,83.44661549,3170.966717,154542.4488,2517324.778
1057,2023.03.04,17,664,2962,146471,2461496,8,13,19,27,40,45,12,1.13E+11,112523887,13.81498565,82.88991389,3149.812087,153511.442,2500530.822
1058,2023.03.11,13,60,3074,152446,2545208,11,23,25,30,32,40,42,1.12E+11,112041382,13.75574667,82.53448004,3136.305621,152853.1814,2489808.489
1059,2023.03.18,13,83,3127,151941,2516955,7,10,22,25,34,40,27,1.11E+11,110846824,13.60908624,81.65451746,3102.867092,151223.498,2463262.756
1060,2023.03.25,28,96,4593,179475,2566118,3,10,24,33,38,45,36,1.11E+11,110677185,13.58825902,81.52955411,3098.118492,150992.0668,2459493
1061,2023.04.01,11,99,3003,145857,2425576,4,24,27,35,37,45,15,1.10E+11,109909344,13.49398826,80.96392955,3076.62479,149944.5348,2442429.867
1062,2023.04.08,7,68,2668,133599,2278058,20,31,32,40,41,45,12,1.07E+11,107109911,13.15029122,78.90174732,2998.261981,146125.3902,2380220.244
1063,2023.04.15,7,55,2706,139518,2401618,3,6,22,23,24,38,30,1.08E+11,108347135,13.30218992,79.8131395,3032.894833,147813.281,2407714.111
1064,2023.04.22,19,62,3296,158665,2525390,3,6,9,18,22,35,14,1.09E+11,109427584,13.43484075,80.6090445,3063.139178,149287.2906,2431724.089
1065,2023.04.29,14,74,3117,148561,2416212,3,18,19,23,32,45,24,1.08E+11,108181727,13.28188215,79.69129288,3028.264668,147587.6221,2404038.378
1066,2023.05.06,15,88,3323,152826,2432046,6,11,16,19,21,32,45,1.06E+11,106440950,13.06816033,78.408962,2979.536166,145212.7558,2365354.444
1067,2023.05.13,13,82,3679,163488,2567588,7,10,19,23,28,33,18,1.11E+11,110703299,13.59146513,81.5487908,3098.849485,151027.693,2460073.311
1068,2023.05.20,19,87,3114,150789,2480427,4,7,19,26,33,35,3,1.09E+11,108988932,13.38098578,80.28591465,3050.860262,148688.8568,2421976.267
1069,2023.05.27,14,79,3006,146335,2419527,1,10,18,22,28,31,44,1.08E+11,108388892,13.30731658,79.84389949,3034.063711,147870.2483,2408642.044
1070,2023.06.03,14,63,2938,142759,2353987,3,6,14,22,30,41,36,1.07E+11,107222802,13.16415128,78.98490766,3001.422069,146279.4025,2382728.933
1071,2023.06.10,5,83,2891,143234,2391950,1,2,11,21,30,35,39,1.07E+11,107362630,13.18131849,79.08791095,3005.336189,146470.1637,2385836.222
1072,2023.06.17,12,93,2872,145504,2400605,16,18,20,23,32,43,27,1.08E+11,108156654,13.27880384,79.67282304,3027.562815,147553.4161,2403481.2
1073,2023.06.24,11,62,2994,146834,2387538,6,18,28,30,32,38,15,1.07E+11,107352123,13.18002851,79.08017105,3005.042073,146455.8295,2385602.733
1074,2023.07.01,12,78,2711,143155,2311622,1,6,20,27,28,41,15,1.06E+11,105744157,12.98261241,77.89567443,2960.031267,144262.1514,2349870.156
1075,2023.07.08,9,160,2750,134529,2267024,1,23,24,35,44,45,10,1.06E+11,105635232,12.96923927,77.81543561,2956.982197,144113.5498,2347449.6
1076,2023.07.15,9,86,3109,148521,2417204,3,7,9,33,36,37,10,1.03E+11,103168694,12.66641302,75.9984781,2887.937913,140748.5593,2292637.644
1077,2023.07.22,7,98,3235,149808,2428987,4,8,17,30,40,43,34,1.06E+11,105927489,13.00512077,78.03072464,2965.163168,144512.2633,2353944.2
1078,2023.07.29,12,77,2691,135352,2334106,6,10,11,14,36,38,43,1.05E+11,105407618,12.94129423,77.64776539,2950.610738,143803.0259,2342391.511
1079,2023.08.05,9,85,3212,145773,2344700,4,8,18,24,37,45,6,1.03E+11,103120206,12.66045996,75.96275976,2886.580618,140682.4093,2291560.133
1080,2023.08.12,7,82,2720,136257,2254999,13,16,23,31,36,44,38,1.04E+11,104111986,12.78222456,76.69334738,2914.342907,142035.4516,2313599.689
1081,2023.08.19,11,92,2923,143152,2390493,1,9,16,23,24,38,17,1.07E+11,106974323,13.13364456,78.80186739,2994.466549,145940.4134,2377207.178
1082,2023.08.26,7,62,2768,142123,2390544,21,26,27,32,34,42,31,1.08E+11,107566880,13.20639504,79.23837025,3011.053633,146748.8131,2390375.111
1083,2023.09.02,15,72,3274,154536,2501816,3,7,14,15,22,38,17,1.09E+11,108995141,13.38174808,80.29048847,3051.034067,148697.3274,2422114.244
1084,2023.09.09,15,107,3003,151391,2512924,8,12,13,29,33,42,5,1.10E+11,109818924,13.48288705,80.8973223,3074.093719,149821.1787,2440420.533
1085,2023.09.16,23,80,3471,156670,2475529,4,7,17,18,38,44,36,1.06E+11,106249975,13.04471361,78.26828163,2974.19032,144952.2169,2361110.556
1086,2023.09.23,17,67,3270,155241,2500478,11,16,25,27,35,36,37,1.09E+11,109250306,13.41307566,80.47845393,3058.176744,149045.4379,2427784.578
1087,2023.09.30,16,71,2989,149854,2506601,13,14,18,21,34,44,16,1.14E+11,113960897,13.99141283,83.94847699,3190.037426,155471.8922,2532464.378
1088,2023.10.07,11,94,2991,141487,2352280,11,21,22,30,39,44,31,1.09E+11,109089305,13.39330895,80.3598537,3053.669942,148825.7913,2424206.778
1089,2023.10.14,9,79,2825,138575,2338390,4,18,31,37,42,43,40,1.09E+11,108725932,13.34869626,80.09217759,3043.498264,148330.0573,2416131.822
1090,2023.10.21,11,88,2931,143714,2398962,12,19,21,29,40,45,1,1.08E+11,108364862,13.30436633,79.82619797,3033.391054,147837.4652,2408108.044
1091,2023.10.28,9,65,2873,149578,2481449,6,20,23,24,28,30,44,1.09E+11,109335581,13.42354519,80.54127115,3060.563795,149161.7749,2429679.578
